date_id,full_date,year,month,day
688,2021-11-14,2021,11,14
689,2021-11-15,2021,11,15
690,2021-12-05,2021,12,5
691,2021-12-06,2021,12,6
692,2022-01-13,2022,1,13
693,2022-01-21,2022,1,21
694,2022-01-25,2022,1,25
695,2022-01-30,2022,1,30
696,2022-02-08,2022,2,8
697,2022-04-28,2022,4,28
698,2022-05-04,2022,5,4
699,2022-05-08,2022,5,8
700,2022-05-09,2022,5,9
701,2022-05-12,2022,5,12
702,2022-05-13,2022,5,13
703,2022-05-17,2022,5,17
704,2022-05-22,2022,5,22
705,2022-05-26,2022,5,26
706,2022-06-01,2022,6,1
707,2022-06-26,2022,6,26
708,2022-06-29,2022,6,29
709,2022-07-10,2022,7,10
710,2022-07-11,2022,7,11
711,2022-07-26,2022,7,26
712,2022-08-04,2022,8,4
713,2022-08-10,2022,8,10
714,2022-08-14,2022,8,14
715,2022-08-23,2022,8,23
716,2022-08-24,2022,8,24
717,2022-09-09,2022,9,9
718,2022-09-28,2022,9,28
719,2022-09-29,2022,9,29
720,2022-10-07,2022,10,7
721,2022-10-09,2022,10,9
722,2022-10-22,2022,10,22
723,2022-10-24,2022,10,24
724,2022-11-03,2022,11,3
725,2022-11-09,2022,11,9
726,2022-11-16,2022,11,16
727,2022-11-18,2022,11,18
728,2022-11-22,2022,11,22
729,2022-11-23,2022,11,23
730,2022-11-24,2022,11,24
731,2022-11-29,2022,11,29
732,2022-12-04,2022,12,4
733,2022-12-05,2022,12,5
734,2023-01-01,2023,1,1
735,2023-01-04,2023,1,4
736,2023-02-11,2023,2,11
737,2023-02-21,2023,2,21
738,2023-02-24,2023,2,24
739,2023-03-10,2023,3,10
740,2023-04-02,2023,4,2
741,2023-04-05,2023,4,5
742,2023-04-06,2023,4,6
743,2023-04-12,2023,4,12
744,2023-04-29,2023,4,29
745,2023-05-01,2023,5,1
746,2023-05-11,2023,5,11
747,2023-05-30,2023,5,30
748,2023-06-11,2023,6,11
749,2023-06-30,2023,6,30
750,2023-07-01,2023,7,1
751,2023-07-07,2023,7,7
752,2023-07-14,2023,7,14
753,2023-07-20,2023,7,20
754,2023-07-31,2023,7,31
755,2023-08-03,2023,8,3
756,2023-09-03,2023,9,3
757,2023-09-22,2023,9,22
758,2023-09-28,2023,9,28
759,2023-10-03,2023,10,3
760,2023-10-12,2023,10,12
761,2023-10-16,2023,10,16
762,2023-10-22,2023,10,22
763,2023-10-24,2023,10,24
764,2023-11-02,2023,11,2
765,2023-12-04,2023,12,4
766,2024-01-02,2024,1,2
767,2024-01-13,2024,1,13
768,2024-01-18,2024,1,18
769,2024-01-30,2024,1,30
770,2024-02-04,2024,2,4
771,2024-03-06,2024,3,6
772,2024-04-08,2024,4,8
773,2024-04-13,2024,4,13
774,2024-04-28,2024,4,28
775,2024-05-07,2024,5,7
776,2024-05-10,2024,5,10
777,2024-05-21,2024,5,21
